Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Anura,Ranidae,Pelophylax cerigensis,"(Beerli, Hotz, Tunner, Heppich & Uzzell, 1994)",Karpathos Frog,58567,229002159,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/58567/229002159
Anura,Ranidae,Pelophylax cretensis,"(Beerli, Hotz, Tunner, Heppich & Uzzell, 1994)",Cretan Frog,58581,227225745,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/58581/227225745
Anura,Ranidae,Pelophylax cypriensis,"Plötner, Baier, Akın, Mazepa, Schreiber, Beerli, Litvinchuk, Bilgin, Borkin & Uzzell, 2012",Cyprus Water Frog,58892549,229002620,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/58892549/229002620
Anura,Ranidae,Pelophylax epeiroticus,"(Schneider, Sofianidou & Kyriakopoulou-Sklavounou, 1984)",Epirus Water Frog,58592,207981785,NT,VU,Yes,No,https://www.iucnredlist.org/species/58592/207981785
Anura,Ranidae,Pelophylax kurtmuelleri,"(Gayda, 1940)",Balkan Water Frog,58637,229003815,LC,LC,Yes,No,https://www.iucnredlist.org/species/58637/229003815
Anura,Ranidae,Pelophylax lessonae,"(Camerano, 1882)",Pool Frog,88416883,207983513,LC,Not recorded,Yes,No,https://www.iucnredlist.org/species/88416883/207983513
Anura,Ranidae,Pelophylax perezi,"(López-Seoane, 1885)",Perez's Frog,58692,227226945,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/58692/227226945
Anura,Ranidae,Pelophylax ridibundus,"(Pallas, 1771)",Marsh Frog,58705,200716374,LC,Not recorded,No,No,https://www.iucnredlist.org/species/58705/200716374
Anura,Ranidae,Pelophylax saharicus,"(Boulenger in Hartert, 1913)",North African Green Frog,58707,200717357,NA,NA,No,No,https://www.iucnredlist.org/species/58707/200717357
Anura,Ranidae,Pelophylax shqipericus,"(Hotz, Uzzell, Guenther, Tunner & Heppich, 1987)",Albanian Water Frog,58715,207982996,VU,NA,Yes,No,https://www.iucnredlist.org/species/58715/207982996
Caudata,Salamandridae,Pleurodeles waltl,"Michahelles, 1830",Sharp-ribbed Salamander,59463,200741141,NT,NT,No,No,https://www.iucnredlist.org/species/59463/200741141
Caudata,Proteidae,Proteus anguinus,"Laurenti, 1768",Olm,18377,227229041,VU,VU,Yes,No,https://www.iucnredlist.org/species/18377/227229041
Anura,Ranidae,Rana arvalis,"Nilsson, 1842",Moor Frog,58548,200717774,LC,Not recorded,No,No,https://www.iucnredlist.org/species/58548/200717774
Anura,Ranidae,Rana dalmatina,"Fitzinger, 1838",Agile Frog,58584,200718410,LC,Not recorded,No,No,https://www.iucnredlist.org/species/58584/200718410
Anura,Ranidae,Rana graeca,"Boulenger, 1891",Greek Stream Frog,58605,229005415,LC,LC,Yes,No,https://www.iucnredlist.org/species/58605/229005415
Anura,Ranidae,Rana iberica,"Boulenger, 1879",Iberian Frog,58622,227229860,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/58622/227229860
Anura,Ranidae,Rana italica,"Dubois, 1987",Italian Stream Frog,58624,227231646,LC,LC,Yes,No,https://www.iucnredlist.org/species/58624/227231646
Anura,Ranidae,Rana latastei,"Boulenger, 1879",Italian Agile Frog,19156,227232074,VU,VU,Yes,No,https://www.iucnredlist.org/species/19156/227232074
Anura,Ranidae,Rana parvipalmata,"López-Seoane, 1885",Galician Common Frog,173103952,227232549,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/173103952/227232549
Anura,Ranidae,Rana pyrenaica,"Serra-Cobo, 1993",Pyrenean Frog,19183,227233345,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/19183/227233345
Anura,Ranidae,Rana temporaria,"Linnaeus, 1758",European Common Frog,173101508,200721782,LC,Not recorded,No,No,https://www.iucnredlist.org/species/173101508/200721782
Caudata,Salamandridae,Salamandra algira,"Bedriaga, 1883",North African Fire Salamander,59464,200741882,NA,NA,No,No,https://www.iucnredlist.org/species/59464/200741882
Caudata,Salamandridae,Salamandra atra,"Laurenti, 1768",Alpine Salamander,19843,227233771,LC,LC,Yes,No,https://www.iucnredlist.org/species/19843/227233771
Caudata,Salamandridae,Salamandra corsica,"Savi, 1838",Corsican Fire Salamander,59465,227234846,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/59465/227234846
Caudata,Salamandridae,Salamandra lanzai,"Nascetti, Capula & Bullini, 1988",Lanza's Alpine Salamander,19845,89699123,CR,CR,Yes,Yes,https://www.iucnredlist.org/species/19845/89699123
Caudata,Salamandridae,Salamandra salamandra,"(Linnaeus, 1758)",Common Fire Salamander,59467,219148292,VU,VU,Yes,No,https://www.iucnredlist.org/species/59467/219148292
Caudata,Hynobiidae,Salamandrella keyserlingii,"Dybowski, 1870",Siberian Salamander,136687833,202049049,LC,Not recorded,No,No,https://www.iucnredlist.org/species/136687833/202049049
Caudata,Salamandridae,Salamandrina perspicillata,"(Savi, 1821)",Northern Spectacled Salamander,136135,89706481,EN,EN,Yes,No,https://www.iucnredlist.org/species/136135/89706481
Caudata,Salamandridae,Salamandrina terdigitata,"(Bonnaterre, 1789)",Spectacled Salamander,59468,227235526,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/59468/227235526
Anura,Bufonidae,Sclerophrys mauritanica,"(Schlegel, 1841)",Moroccan Toad,54703,202016456,NA,Not recorded,No,No,https://www.iucnredlist.org/species/54703/202016456
Caudata,Plethodontidae,Speleomantes ambrosii,"(Lanza, 1955)",Ambrosi's Cave Salamander,20454,265126221,CR,CR,Yes,Yes,https://www.iucnredlist.org/species/20454/265126221
Caudata,Plethodontidae,Speleomantes flavus,"(Stefani, 1969)",Mount Albo's Cave Salamander,20455,227235866,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/20455/227235866
Caudata,Plethodontidae,Speleomantes genei,"(Temminck & Schlegel, 1838)",Gené's Cave Salamander,20456,227236143,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/20456/227236143
Caudata,Plethodontidae,Speleomantes imperialis,"(Stefani, 1969)",Scented Cave Salamander,20457,227236400,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/20457/227236400
Caudata,Plethodontidae,Speleomantes italicus,"(Dunn, 1923)",Italian Cave Salamander,20458,265124975,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/20458/265124975
Caudata,Plethodontidae,Speleomantes sarrabusensis,"Lanza, Leo, Forti, Cimmaruta, Caputo & Nascetti, 2001",Sette Fratelli Cave Salamander,135825,227236611,CR,CR,Yes,Yes,https://www.iucnredlist.org/species/135825/227236611
Caudata,Plethodontidae,Speleomantes strinatii,"(Aellen, 1958)",French Cave Salamander,59405,265122877,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/59405/265122877
Caudata,Plethodontidae,Speleomantes supramontis,"(Lanza, Nascetti & Bullini, 1986)",Supramonte Cave Salamander,20459,227237010,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/20459/227237010
Caudata,Salamandridae,Triturus carnifex,"(Laurenti, 1768)",Italian Crested Newt,214696589,264468745,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/214696589/264468745
Caudata,Salamandridae,Triturus cristatus,"(Laurenti, 1768)",Great Crested Newt,22212,200183152,LC,Not recorded,No,No,https://www.iucnredlist.org/species/22212/200183152
Caudata,Salamandridae,Triturus dobrogicus,"(Kiritzescu, 1903)",Danube Crested Newt,22216,227237457,LC,LC,Yes,No,https://www.iucnredlist.org/species/22216/227237457
Caudata,Salamandridae,Triturus ivanbureschi,"Arntzen & Wielstra, 2013",Buresch's Crested New,88103927,200745594,LC,Not recorded,No,No,https://www.iucnredlist.org/species/88103927/200745594
Caudata,Salamandridae,Triturus karelinii,"(Strauch, 1870)",Southern Crested Newt,211146190,200746759,LC,Not recorded,No,No,https://www.iucnredlist.org/species/211146190/200746759
Caudata,Salamandridae,Triturus macedonicus,"(Karaman, 1922)",Macedonian Crested Newt,88104000,227237916,VU,EN,Yes,No,https://www.iucnredlist.org/species/88104000/227237916
Caudata,Salamandridae,Triturus marmoratus,"(Latreille, 1800)",Marbled Newt,59477,219150517,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/59477/219150517
Caudata,Salamandridae,Triturus pygmaeus,"(Wolterstorff, 1905)",Southern Marbled Newt,59479,227238403,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/59479/227238403
Anura,Pipidae,Xenopus laevis,"(Daudin, 1802)",African Clawed Frog,110466172,202022250,NA,Not recorded,No,No,https://www.iucnredlist.org/species/110466172/202022250
