CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
RU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RUE-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BLT-KA,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RUN-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RUS-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
IE,,,Introduced,Extant,Resident,200188858,88316072,Bufo bufo
SPA-SP,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
AD,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
FR,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
FRA-FR,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
GI,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
JE,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
PT,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
POR-OO,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
ES,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
MOR-SP,,,Native,Extant,Resident,200190036,88316046,Bufo spinosus
IT,,,Native,Extant,Resident,200191612,182525327,Bufotes boulengeri
SIC-SI,,,Native,Extant,Resident,200191612,182525327,Bufotes boulengeri
ES,,,Native,Extant,Resident,200191612,182525327,Bufotes boulengeri
MOR-SP,,,Native,Extant,Resident,200191612,182525327,Bufotes boulengeri
BA,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
AL,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
AT,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
BG,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
ITA-IT,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
MD,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
UA,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
HR,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RS,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
LT,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
CZ,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
DK,,,Native,Presence Uncertain,Resident,200192160,182530066,Bufotes viridis
EE,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
GR,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
HU,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
YUG-SE,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
SE,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
CH,,,Native,Extinct Post-1500,Resident,200192160,182530066,Bufotes viridis
SI,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
FR,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
FRA-FR,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
MT,,,Native,Presence Uncertain,Resident,200192160,182530066,Bufotes viridis
GRC-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
IT,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
PL,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
LV,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
BY,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
MK,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
DE,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
ME,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
SK,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RU-EU,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
COR-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RU,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
TR,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
TUE-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
YUG-KO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RUC-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
BLT-KA,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RUW-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
RUS-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
KRY-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
UKR-UK,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
EAI-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
KRI-OO,,,Native,Extant,Resident,200192160,182530066,Bufotes viridis
PT,,,Introduced,Extant,,200196698,173109790,Hyla meridionalis
GI,,,Vagrant,Extant,,200196698,173109790,Hyla meridionalis
SPA-SP,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
FR,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
IT,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
MC,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
MDR-OO,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
ES,,,Native,Extant,Resident,200196698,173109790,Hyla meridionalis
BAL-OO,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
CNY-OO,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
MOR-SP,,,Native,Extant,Resident,200196698,173109790,Hyla meridionalis
FRA-FR,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
ITA-IT,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
POR-OO,,,Introduced,Extant,Resident,200196698,173109790,Hyla meridionalis
GR,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
EAI-OO,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
TUE-OO,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
MT,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
TR,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
BG,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
BE,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
IT,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
SAR-OO,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
CH,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
RU-EU,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
UA,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
CY,,,Introduced,Extant,Resident,200682549,58893474,Pelophylax bedriagae
RU,,,Native,Extant,,200682549,58893474,Pelophylax bedriagae
KRY-OO,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
UKR-UK,,,Native,Extant,Resident,200682549,58893474,Pelophylax bedriagae
ME,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
AT,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
BE,,,Introduced,Extant,Resident,200716374,58705,Pelophylax ridibundus
BA,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
RU,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
BG,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
NL,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
HR,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
CZ,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
DK,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
FR,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
GB,,,Introduced,Extant,Resident,200716374,58705,Pelophylax ridibundus
TR,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
HU,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
LV,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
BY,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
MD,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
RO,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
RS,,,Native,Extant,Resident,200716374,58705,Pelophylax ridibundus
