Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"",67862807,"Kuzmin, S.L.","","",,2865,Bombina bombina,"","amphibians, systematics, distribution, ecology, conservation, USSR","","","",Magdeburg - Heidelberg,Westarp – Spektrum,"","","","",Published,Die Amphibien Russlands und Angrenzender Gebiete,book,"","",1995
Assessment,,"",67862807,"Dely, G.","","",,2865,Bombina bombina,"","","","","",Budapest,Ákadémiai Kiadó,"","","","",Published,"Kétéltűek-Amphibia: Magyarország Állatvilága, Faunae Hungariae",book,"","",1967
Assessment,,"",67862807,"Gasc, J.P., Cabela, A., Crnobrnja-Isailovic, J., Dolmen, D., Grossenbacher, K., Haffner, P., Lescure, J., Martens, H., Martinez Rica, J.P., Maurin, R., Oliveira, M.E., Sofianidou, T.S., Veith, M. and Zuiderwijk, A.","","",,2865,Bombina bombina,"",Europe herpetology frog newt lizard snake salamander,"","",494,Paris,Societas Europea Herpetologica & Museum National d'Histoire Naturelle,"Gasc, J.-P. et al.","","","",Published,Atlas of Amphibians and Reptiles in Europe,book,"","",1997
Assessment,,"",67862807,"Uğurtaş, İ.H., Yılmaz, İ. and Yıldırımhan, H.S.","","",,2865,Bombina bombina,"","",3,"",253-256,"","","",Russian Journal of Herpetology,"","",Published,"Two New Localities for Bombina bombina (Anura, Discoglossidae) in Turkey",journal article,"",6,1999
Assessment,,"",67862807,"Cogălniceanu, D. and Miaud, C.","","",,2865,Bombina bombina,"","","","",115-118.,"","","",Amphibia-Reptilia,"","",Published,Variations in life history of a Bombina bombina population from the lower Danube floodplain.,journal article,"",25,2004
Assessment,,"",67862807,"Yilmaz, İ.","","",,2865,Bombina bombina,"","",1,"",109-110,"","","",Zoology in the Middle East,"","",Published,"On the distribution of the Fire-bellied Toad, Bombina bombina, in Turkey",journal article,"","",1986
Assessment,,"",67862807,"Hofman, S., Spolsky, C., Uzzell, T., Cogălniceanu, D., Babik, W. and Szymura, J.","","",,2865,Bombina bombina,"","","","",2301-2316.,"","","",Molecular Ecology,"","",Published,"Phylogeography of the fire-bellied toads, Bombina: independent Pleistocene histories inferred from mitochondrial genomes.",journal article,"",16,2007
Assessment,,,67862807,"Vörös, J., Alcobendas, M., Martínez-Solano, I. and García-París, M.",,,,2865,Bombina bombina,,,,,705-718.,,,,Molecular Phylogenetics and Evolution,,,,Evolution of Bombina bombina and B. variegata (Anura: Discoglossidae) in the Carpathian Basin: a history of repeated mt-DNA introgression across species.,Journal Article,,38,2006
Assessment,,"",67862807,"Legakis, A. and Maragkou, P","","",,2865,Bombina bombina,"","","","",1-528,Athens,Hellenic Zoological Society [in Greek],"","","","",Published,The Red Data Book of Threatened Animals of Greece,edited book,"","",2009
Assessment,,,67862807,"Chobot, K. and Něměc, M.",,,,2865,Bombina bombina,,,,,,,Nature Conservation Agency of the Czech Republic,,,,,Published,Příroda: Červený seznam ohrožených druhů České republiky,book,,,2017
Assessment,,"",67862807,"Stanković, D., Lužnik, M. and Poboljšaj, K","","",,2865,Bombina bombina,"","","","",32-44,Exeter,Pelagic Publishing,A. Heatwole and J.W. Wilkinson,Amphibian Biology Vol 11. Part 4. Status of Conservation and Decline of Amphibians: Eastern Hemisphere: Southern Europe and Turkey,"","",Published,Conservation and declines of amphibians in Slovenia,book section,"",11,2015
