internal_taxon_id,internal_taxon_name,language,name,primary
196236126,Pelobates fuscus,Slovenian,Navadna česnovka,FALSE
196236126,Pelobates fuscus,Russian,Obyknovennaya Chesnochnitsa,FALSE
196236126,Pelobates fuscus,Italian,Pelobate Fosco,FALSE
196236126,Pelobates fuscus,Serbian,Обична чешњарка,FALSE
196236126,Pelobates fuscus,English,Common Spadefoot,TRUE
19845,Salamandra lanzai,Italian,Salamandra di Lanza,FALSE
19845,Salamandra lanzai,English,Lanza's Alpine Salamander,TRUE
20454,Speleomantes ambrosii,English,Spezia Cave Salamander,FALSE
20454,Speleomantes ambrosii,Italian,Geotritone di Ambrosi,FALSE
20454,Speleomantes ambrosii,English,Ambrosi's Cave Salamander,TRUE
20458,Speleomantes italicus,Italian,Geotritone Italiano,FALSE
20458,Speleomantes italicus,English,Italian Cave Salamander,TRUE
59405,Speleomantes strinatii,English,North-west Italian Cave Salamander,FALSE
59405,Speleomantes strinatii,English,Strinati’s Cave Salamander,FALSE
59405,Speleomantes strinatii,Italian,Geotritone di Strinati,FALSE
59405,Speleomantes strinatii,French,Spélerpès de Strinati,FALSE
59405,Speleomantes strinatii,English,French Cave Salamander,TRUE
59467,Salamandra salamandra,English,European Salamander,FALSE
59467,Salamandra salamandra,English,Fire Salamander,FALSE
59467,Salamandra salamandra,English,Spotted Salamander,FALSE
59467,Salamandra salamandra,Albanian,E bukura e dheut,FALSE
59467,Salamandra salamandra,German,Feuersalamander,FALSE
59467,Salamandra salamandra,Hungarian,Foltos szalamandra,FALSE
59467,Salamandra salamandra,Hungarian,Foltos szalamandra,FALSE
59467,Salamandra salamandra,Slovenian,Navadni močerad,FALSE
59467,Salamandra salamandra,Russian,Obyknovennaya Salamandra,FALSE
59467,Salamandra salamandra,Bosnian,Pjegavi daždevnjak,FALSE
59467,Salamandra salamandra,Romanian,Salamandra,FALSE
59467,Salamandra salamandra,Spanish; Castilian,Salamandra Común,FALSE
59467,Salamandra salamandra,Italian,Salamandra Pezzata,FALSE
59467,Salamandra salamandra,Polish,Salamandra Plamista,FALSE
59467,Salamandra salamandra,French,Salamandre tachetée,FALSE
59467,Salamandra salamandra,Serbian,Šareni daždevnjak,FALSE
59467,Salamandra salamandra,Croatian,Šareni daždevnjak,FALSE
59467,Salamandra salamandra,"Greek, Modern (1453-)",Σαλαμάνδρα,FALSE
59467,Salamandra salamandra,Bulgarian,Дъждовник,FALSE
59467,Salamandra salamandra,Macedonian,Шарен дождовник,FALSE
59467,Salamandra salamandra,English,Common Fire Salamander,TRUE
59477,Triturus marmoratus,Spanish; Castilian,Tritón Jaspeado,FALSE
59477,Triturus marmoratus,English,Marbled Newt,TRUE
136131,Calotriton arnoldi,English,Montseny Newt,FALSE
136131,Calotriton arnoldi,English,Montseny Brook Newt,TRUE
136135,Salamandrina perspicillata,Italian,Salamandrina settentrionale,FALSE
136135,Salamandrina perspicillata,English,Northern Spectacled Salamander,TRUE
214696589,Triturus carnifex,English,Alpine Crested Newt,FALSE
214696589,Triturus carnifex,English,Alpine Warty Newt,FALSE
214696589,Triturus carnifex,English,Vienna Newt,FALSE
214696589,Triturus carnifex,Hungarian,Alpesi tarajosgőte,FALSE
214696589,Triturus carnifex,Czech,Čolek dravý,FALSE
214696589,Triturus carnifex,German,Italienischer Kammolch,FALSE
214696589,Triturus carnifex,Italian,Tritone Crestato Italiano,FALSE
214696589,Triturus carnifex,Bosnian,Veliki (italijanski) krestasti vodenjak,FALSE
214696589,Triturus carnifex,Slovenian,Veliki pupek,FALSE
214696589,Triturus carnifex,Croatian,Veliki vodenjak,FALSE
214696589,Triturus carnifex,English,Italian Crested Newt,TRUE
