CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
SK,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
SI,,,Native,Possibly Extant,Resident,227237457,22216,Triturus dobrogicus
MD,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
AL,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
BA,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
BG,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
GR,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
GRC-OO,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
MK,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
ME,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
RS,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
YUG-KO,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
YUG-SE,,,Native,Extant,Resident,227237916,88104000,Triturus macedonicus
PT,,,Native,Extant,Resident,227238403,59479,Triturus pygmaeus
POR-OO,,,Native,Extant,Resident,227238403,59479,Triturus pygmaeus
ES,,,Native,Extant,Resident,227238403,59479,Triturus pygmaeus
SPA-SP,,,Native,Extant,Resident,227238403,59479,Triturus pygmaeus
FR,,,Native,Extant,Resident,228179002,178592041,Alytes almogavarii
FRA-FR,,,Native,Extant,Resident,228179002,178592041,Alytes almogavarii
ES,,,Native,Extant,Resident,228179002,178592041,Alytes almogavarii
SPA-SP,,,Native,Extant,Resident,228179002,178592041,Alytes almogavarii
FR,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
BE,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
FRA-FR,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
DE,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
GRB-OO,,,Introduced,Extant,Resident,228179645,178591974,Alytes obstetricans
LU,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
NL,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
PT,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
POR-OO,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
ES,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
GB,,,Introduced,Extant,Resident,228179645,178591974,Alytes obstetricans
SPA-SP,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
CH,,,Native,Extant,Resident,228179645,178591974,Alytes obstetricans
AL,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
AT,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
LU,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
RO,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
BE,,,Native,Extinct Post-1500,Resident,228179967,77970289,Bombina variegata
BA,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
SK,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
BG,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
GB,,,Introduced,Extant,Resident,228179967,77970289,Bombina variegata
ME,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
RS,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
YUG-SE,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
HR,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
CZ,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
UA,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
TR,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
FR,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
MK,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
GRB-OO,,,Introduced,Extant,Resident,228179967,77970289,Bombina variegata
SI,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
HU,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
FRA-FR,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
TUE-OO,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
IT,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
DE,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
LI,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
PL,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
UKR-UK,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
GR,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
ITA-IT,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
CH,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
GRC-OO,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
YUG-KO,,,Native,Extant,Resident,228179967,77970289,Bombina variegata
ES,,,Origin Uncertain,Extant,,228180449,153567,Bufotes balearicus
BAL-OO,,,Origin Uncertain,Extant,,228180449,153567,Bufotes balearicus
FR,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
COR-OO,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
IT,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
ITA-IT,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
SAR-OO,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
SIC-SI,,,Native,Extant,Resident,228180449,153567,Bufotes balearicus
CY,,,Native,Extant,Resident,228180876,172962880,Bufotes cypriensis
PT,,,Native,Extant,Resident,228181133,4657,Chioglossa lusitanica
POR-OO,,,Native,Extant,Resident,228181133,4657,Chioglossa lusitanica
ES,,,Native,Extant,Resident,228181133,4657,Chioglossa lusitanica
SPA-SP,,,Native,Extant,Resident,228181133,4657,Chioglossa lusitanica
AT,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
BE,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
CZ,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
UA,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
PL,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
BY,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
RU,,,Native,Extinct Post-1500,Resident,228181470,54598,Epidalea calamita
DK,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
CH,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
EE,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
GB,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
LU,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
UKR-UK,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
SPA-SP,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
FR,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
FRA-FR,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
RU-EU,,,Native,Extinct Post-1500,Resident,228181470,54598,Epidalea calamita
POR-OO,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
BLT-KA,,,Native,Extinct Post-1500,Resident,228181470,54598,Epidalea calamita
DE,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
NL,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
GRB-OO,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
ES,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
IE,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
SE,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
LV,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
LT,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
PT,,,Native,Extant,Resident,228181470,54598,Epidalea calamita
