infraType,infrarankAuthor,infrarankName,internal_taxon_id,internal_taxon_name,name,speciesAuthor,speciesName
subspecies,"Arntzen & García-París, 1995",almogavarii,178592041,Alytes almogavarii,"Alytes obstetricans ssp. almogavarii Arntzen & García-París, 1995",,obstetricans
,,,196236126,Pelobates fuscus,"Bufo fuscus Laurenti, 1768","Laurenti, 1768",fuscus
,,,196236126,Pelobates fuscus,"Pelobates insubricus Cornalia, 1873","Cornalia, 1873",insubricus
subspecies,"Cornalia, 1873",insubricus,196236126,Pelobates fuscus,"Pelobates fuscus ssp. insubricus Cornalia, 1873",,fuscus
subspecies,"Lanza, 1955",ambrosii,20454,Speleomantes ambrosii,"Hydromantes italicus ssp. ambrosii Lanza, 1955",,italicus
,,,20458,Speleomantes italicus,"Hydromantes italicus Dunn, 1923","Dunn, 1923",italicus
subspecies,"Aellen, 1958",strinatii,59405,Speleomantes strinatii,"Hydromantes italicus ssp. strinatii Aellen, 1958",,italicus
,,,59467,Salamandra salamandra,"Lacerta salamandra Linnaeus, 1758","Linnaeus, 1758",salamandra
,,,59467,Salamandra salamandra,"Salamandra terrestris Bonnaterre, 1789","Bonnaterre, 1789",terrestris
,,,59467,Salamandra salamandra,"Salamandra longirostris Joger & Steinfartz, 1994","Joger & Steinfartz, 1994",longirostris
subspecies,"Laurenti, 1768",candida,59467,Salamandra salamandra,"Salamandra candida ssp. candida Laurenti, 1768",,candida
,,,59467,Salamandra salamandra,"Salamandra maculosa Laurenti, 1768","Laurenti, 1768",maculosa
,,,59477,Triturus marmoratus,"Salamandra marmorata Latreille, 1800","Latreille, 1800",marmorata
,,,59477,Triturus marmoratus,"Triton gesneri Laurenti, 1768 [<i>nomen dubium</i>]","Laurenti, 1768 [<i>nomen dubium</i>]",gesneri
,,,136135,Salamandrina perspicillata,"Salamandra perspicillata Savi, 1821","Savi, 1821",perspicillata
,,,173111497,Pelodytes punctatus,"Rana punctata Daudin, 1802","Daudin, 1802",punctata
,,,173111497,Pelodytes punctatus,"Pelodytes hespericus Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017","Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017",hespericus
,,,214696589,Triturus carnifex,"Triton carnifex Laurenti, 1768","Laurenti, 1768",carnifex
